iter  continuity x-velocity y-velocity Energy
1     0.0000e+00 0.0000e+00 -3.6772e+00 0.0000e+00 
2     1.8245e-01 1.8245e-01 -5.0796e+00 1.8245e-01 
3     1.8446e+00 2.9299e-01 1.6828e+00 2.9299e-01 
4     2.4395e+00 1.4510e+00 2.4026e+00 1.4510e+00 
5     3.4546e+00 3.4546e+00 2.2001e+00 3.4546e+00 
6     5.7526e+00 5.4365e+00 5.4365e+00 5.4365e+00 
