0.000	0.992	0.009	0.989
0.020	0.992	0.009	0.989
0.040	0.991	0.009	0.989
0.060	0.991	0.009	0.989
0.080	0.991	0.009	0.989
0.100	0.991	0.009	0.989
0.120	0.991	0.010	0.988
0.140	0.990	0.010	0.988
0.160	0.990	0.011	0.987
0.180	0.989	0.012	0.986
0.200	0.988	0.013	0.985
0.220	0.987	0.014	0.983
0.240	0.986	0.015	0.982
0.260	0.984	0.017	0.980
0.280	0.982	0.019	0.978
0.300	0.980	0.021	0.975
0.320	0.978	0.023	0.972
0.340	0.975	0.026	0.969
0.360	0.972	0.029	0.965
0.380	0.969	0.033	0.961
0.400	0.965	0.037	0.956
0.420	0.961	0.041	0.951
0.440	0.957	0.045	0.946
0.460	0.952	0.051	0.940
0.480	0.946	0.056	0.933
0.500	0.940	0.063	0.926
0.520	0.933	0.069	0.918
0.540	0.926	0.077	0.909
0.560	0.918	0.085	0.900
0.580	0.910	0.094	0.890
0.600	0.901	0.103	0.879
0.620	0.891	0.113	0.868
0.640	0.880	0.124	0.855
0.660	0.868	0.136	0.842
0.680	0.856	0.149	0.828
0.700	0.843	0.163	0.813
0.720	0.829	0.178	0.797
0.740	0.814	0.194	0.781
0.760	0.799	0.210	0.763
0.780	0.782	0.228	0.745
0.800	0.765	0.248	0.726
0.820	0.747	0.268	0.706
0.840	0.728	0.289	0.686
0.860	0.709	0.312	0.665
0.880	0.689	0.336	0.643
0.900	0.669	0.360	0.622
0.920	0.648	0.386	0.600
0.940	0.628	0.411	0.578
0.960	0.607	0.438	0.557
0.980	0.587	0.463	0.538
1.000	0.567	0.487	0.518
1.020	0.547	0.509	0.500
1.040	0.527	0.532	0.483
1.060	0.508	0.555	0.466
1.080	0.488	0.575	0.450
1.100	0.469	0.592	0.434
1.120	0.451	0.610	0.419
1.140	0.433	0.629	0.405
1.160	0.416	0.649	0.392
1.180	0.400	0.664	0.379
1.200	0.384	0.670	0.365
1.220	0.368	0.672	0.351
1.240	0.351	0.668	0.336
1.260	0.335	0.661	0.320
1.280	0.320	0.651	0.306
1.300	0.305	0.640	0.291
1.320	0.291	0.625	0.277
1.340	0.277	0.608	0.264
1.360	0.264	0.589	0.251
1.380	0.252	0.568	0.239
1.400	0.241	0.545	0.228
1.420	0.230	0.520	0.217
1.440	0.221	0.493	0.206
1.460	0.211	0.466	0.197
1.480	0.203	0.438	0.188
1.500	0.195	0.409	0.179
1.520	0.188	0.380	0.171
1.540	0.181	0.352	0.164
1.560	0.175	0.324	0.157
1.580	0.170	0.296	0.151
1.600	0.165	0.270	0.146
1.620	0.160	0.246	0.141
1.640	0.156	0.222	0.136
1.660	0.153	0.201	0.132
1.680	0.150	0.181	0.128
1.700	0.147	0.163	0.125
1.720	0.145	0.146	0.122
1.740	0.143	0.132	0.120
1.760	0.141	0.119	0.118
1.780	0.139	0.108	0.116
1.800	0.138	0.098	0.115
1.820	0.137	0.090	0.113
1.840	0.136	0.084	0.112
1.860	0.135	0.079	0.112
1.880	0.135	0.075	0.111
1.900	0.134	0.072	0.111
1.920	0.134	0.070	0.110
1.940	0.134	0.069	0.110
1.960	0.134	0.069	0.110
1.980	0.134	0.068	0.110
2.000	0.134	0.068	0.110
